Co,Co,Co,Co,Co,Co,Co,Co,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,As,As,As,As,As,As,As,As,Se,Se,Se,Se,Se,Se,Se,Se,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Te,Te,Te,Te,Te,Te,Te,Te,Au,Au,Au,Au,Au,Au,Au,Au,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Bi,Bi,Bi,Bi,Bi,Bi,Bi,Bi
18100,5600,269,0.015,23.1,43.65,3.32,,,1.8,335,0.09,686.42,875.8,474.88,,6.65,0.82,101.4,2.5,823.7,560.92,0.16,0.02418038806198228,100,1.7,26.4,2.91,30.29,790.17,0.89,,1.1,120,75,6.9,102.95,220.2,2797.56,4.064248652819684,,122.2,14,38,52.75,32,86.12,29.843117175596,,0.015,5,1.37,62.93,7.55,0.52,0.1585047891082531,,0.059,84.8,,99.21,21.04,0.28,,0.33,0.18325,3.7,,,1.06,3.77,0.08940080734833973,0.19,0.024,1.1,,,<0.01,,,,1.1,445,1.15,855,116.84,1.34,,,12,6.5,,0.08,2.88,0.31,0.03215604722154945
14700,13000,280,0.0216,24.79,12.59,1.88,278.8,,1.9,35,,562.92,318.1,0.63,231.9,8.72,4.78,15.8,7990.16,896.58,744.91,0.13,4.499,100,2.5,2,,49.27,761.77,0.86,551.2,1.8,370,78,2.02,125.85,375.9,137.27,4.122,,93.08923723865705,138,3.6,73.3,205.8,1.24,28.11,b.d,0.017,0.1,1.5,45.21,16.62,0.41,1.463,,0.013,0.6,0.167,59.86,114.58,0.96,0.191,0.55,0.12565,2.3,,,3.54,0.82,2.749,0.23,0.08,bdl,0.141,,<0.01,,0.129,,0.18,9.6,0.038,748.09,41.28,,1.937,,0.06,0.2,0.369,0.06,2.98,0.27,1.964
730,83.67,178,0.0219,27.34,28.01,2310,166.6689260314681,,2.235,340,,493.22,488.81,11.84,,2930,2.198,108.1,7217.68,1038.54,451.12,0.142,0.03391372453206697,9030,3.038,39,,22.98,721.68,0.285,38.76258578506828,10,35.98,79.6,2.46,141.63,122.2,0.999,4.128955583943617,290,18.44,6.3,5.19,71.01,141.8,2.411,108.1570227527108,1.2,0.079,4.1,0.507,29.37,9.11,,0.741401051332699,8.18,0,64,0.273,41,31.14,,,420,0,17.7,0.152,,<0.13,0.04,0.8116866730439921,0.17,2.408,0.9,0.1,,<0.01,0.02,0.05960138063286096,663,0.122,335,0.0665,721.76,80.54,,33.72484642027823,,0.028,7.8,0.666,0.06,3.1,,0.07966028723097401
2900,14000,190,0.03,14.02,67.1,28.84,,8200,2.4,304,,352.09,1131.93,1.157,,0.11,0.48,125,6409.44,657.49,689.34,0.147,,100,1.4,46.9,,36.83,821.47,0.414,,10,14,81,1.9,109.14,215.8,2.211,4.18494771698508,85,68.47,9.9,3.59,87.41,144.4,0.188,244.586491283253,,bdl,4.2,4.24,28.75,13.23,,0.236591160350038,0.04,bdl,50.3,0.282,31.55,22.29,0.044,0.3550743256589366,0.04,0.1985159222605095,18,2.04,,<0.13,1.43,1.405591241760568,0.05,0.013,0.9,0.079,,<0.01,0.052,0.1110234287633988,100,0.019,377,8.27,555.69,212.64,1.49,11.1353384997174,,0.01,8.8,8.18,0.04,3.57,0.066,0.0443079352657343
4100,13000,200,0.032,37.05,84.44,87.51,,400,2.5,359,0.107,707.71,792.14,27.56,,1100,39.74,112.5,7076.52,827.78,803.7,0.17,0.01149741317060027,100,2.8,35.1,1.09,22.8,818.19,0.53,,10,3.2,81,1.88,168.32,212.7,1374.26,4.287842399119477,,125,11.3,4.55,80.17,42,73.61,262.8650887535571,100,0.12,4.7,1.107,51.71,2.77,,0.3491857963548877,100,0.11,46.8,0.216,91.23,14.49,0.26,1.158808404392842,0.9,1.322319225578545,17,0.53,,4.82,12.37,1.85075584940208,0.26,0.31,1,0.164,,<0.01,0.47,0.1569018073142279,200,0.63,330,0.762,891.98,117.24,0.94,10.85039747639804,,0.52,8.5,0.55,0.1,3.78,0.43,0.0480345792105422
20000,18339,174,0.043,25.73,109.93,35.66,287.0258099420641,100,20,291,,542.41,782.22,158.7,,5.56,0.215,116,2.19,1023.04,620.06,0.173,,100,0.7109,41.4,2.82,140.36,720.37,0.327,,19,316.1241,82,1.41,99.68,503.5,37.23,0.9007821984222273,54.1,5,9.7,,71.04,352.9,5.063,200.2702631602109,b.d,0.0173,4.6,,40.93,8.75,0.018,0.19,0.23,0.0242,48.4,0.058,48.06,46.41,,,0.9,0.08815,14.4,27.68,,<0.13,0.07,1.178040632972896,0.14,,0.9,,,1.21,,0.04315581019654218,100,0.02395,372,6.01,789.24,71.89,,,,0.0052,8.9,0.271,0.05,4.12,,0.1315504706168514
1100,16000,185,0.0447,16.95,233.78,39,0.46,8300,20,379,,350.1,627.22,0.415,3.66,0.42,6.22,122.8,6582,1356.37,637.64,0.178,0.51,100,1.2,28.2,,17.42,403.33,0.363,1.66,22,73,88,1.94,115.6,518.7,15.39,0.99,118,50.94,6.2,6.08,126.38,600,0.045,2.5,,0.026,4.9,0.661,30.75,11.7,0.23,0.19,b.d,0.016,38.5,0.178,27.32,97.24,0.012,0.29,1.74,0.2462,17.8,0.458,,2.16,,0.99,0.04,0.13,1,0.065,,<0.01,,0.04,200,0.66,350,5.22,561.65,88.92,0.009,0.11,,0.059,9.3,2.23,0.05,4.18,0.033,0.04
9900,8410,80.9711263465962,0.059,27.67,52.82,111.76,5.579306094325102,3500,20.91,120.590027896673,,470.35,946.66,0.58,,9.09,26.31,1085.82564617173,935.91,666.39,1014.16,0.18,,100,2.539,b.d.l.,,15.78,711.18,0.38,,22,52.97,96.4367207283382,,184.02,102.9,3116.39,1.176503067721861,25.6,47.85,16.6920415723654,5.96,110.39,161.2,22.75,207.1156243336296,,0.526,0.538673043885585,1.58,32.14,28.55,,,0.6,0.021,b.d.l.,0.1,47.14,29.47,0.43,0.7527460362937927,0.59,0,2.3123749672921,,,<0.13,0.58,1.179608829020495,0.08,0.162,2.20350742038174,0.085,,<0.01,0.17,0.0841615192664874,100,0.11,42.5639570475773,2.81,702.66,160.46,,4.966311465469886,,0.828,b.d.l.,1.181,0.06,4.22,0.39,
17600,16000,162,0.063,38.95,195.73,0.23,14.83165644141431,3500,22,337,0.177,679.76,627.93,2.88,,41.8,11.99,134,21.61,930.58,503.17,0.18,0.01940746241463118,100,2,54,,24.22,367.56,0.28,,22,44,100,,168.19,417.7,13.15,1.212393949815317,108,134.3,4.9,57.36,98.94,721.7,,53.55639628354978,1.27,0.041,3.8,,42.69,8.31,,0.8903493520770291,4.59,0.013,31.7,,75.21,62.69,0.19,,1.7,0.31525,17.7,0.106,,<0.13,,0.2875493534177017,0.08,0.27,0.9,,,<0.01,,0.01766511484560666,200,0.53,350,,904.39,56.33,0.19,,,0.12,91,0.0114,0.09,4.31,0.63,0.07641544093747135
1000,18389,198,0.07,794.93,23.01,0.66,5.623450257435324,9200,23,20,0.22,800.29,312.41,0.27,,0.23,0.13695,20,10.4,452.47,1513.73,0.18,,100,0.5568,1.4,4.38,26.25,523.55,0.96,,23,288.3824,104,7.8,330.6,191.1,1243.47,1.212393949815317,151,7,98,57.9,1.07,198.7,16.34,286.2512209254431,,0.0208,0.1,1.9,36.71,19.5,0.12,,b.d,0.02725,28,0.05,117.66,36.04,,2.209418490721454,0.07,0.19825,1.9,0.25,,2.71,126.94,1.17130825013359,0.05,,0.1,0.05,,0.14,0.11,0.1032212292006702,100,0.0205,1.7,1.15,953.66,200.39,0.45,6.002842359710695,,0.01,bdl,0.52,38.63,4.73,0.38,
