,Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
0,IOA,18100,1845.421686746988,6.65,100,1.1,130.58247422680412,16.953076923076924,26.040090909090907,0.33,0.19,467.2260869565217,18.13305555555555
1,IOA,14700,1845.421686746988,8.72,100,1.8,130.58247422680412,16.953076923076924,26.040090909090907,0.55,0.23,467.2260869565217,18.13305555555555
2,IOA,730,1845.421686746988,2930,9030,10,290,1.2,8.18,420,0.17,663,18.13305555555555
3,IOA,2900,8200,0.11,100,10,85,16.953076923076924,0.04,0.04,0.05,100,18.13305555555555
4,IOA,4100,400,1100,100,10,130.58247422680412,100,100,0.9,0.26,200,18.13305555555555
5,IOA,20000,100,5.56,100,19,54.1,16.953076923076924,0.23,0.9,0.14,100,18.13305555555555
6,IOA,1100,8300,0.42,100,22,118,16.953076923076924,26.040090909090907,1.74,0.04,200,18.13305555555555
7,IOA,9900,3500,9.09,100,22,25.6,16.953076923076924,0.6,0.59,0.08,100,18.13305555555555
8,IOA,17600,3500,41.8,100,22,108,1.27,4.59,1.7,0.08,200,18.13305555555555
9,IOA,1000,9200,0.23,100,23,151,16.953076923076924,26.040090909090907,0.07,0.05,100,18.13305555555555
10,IOA,3700,8500,1.23,100,23,42,16.953076923076924,26.040090909090907,0.66,0.22,200,18.13305555555555
11,IOA,18800,8500,4.34,100,23.6,130.58247422680412,16.953076923076924,26.040090909090907,0.95,0.22,100,18.13305555555555
12,IOA,2100,200,2100,100,24,130.58247422680412,200,26.040090909090907,2.88,0.1335593220338983,100,18.13305555555555
13,IOA,18800,500,0.55,100,24,94,16.953076923076924,26.040090909090907,0.2,0.05,200,18.13305555555555
14,IOA,19900,200,6.57,100,24,65,16.953076923076924,2.47,1.06,0.09,200,18.13305555555555
15,IOA,210,400,450,920,40,280,7.4,1.22,910,0.2,652,36.07
16,IOA,520,20,340,4630,40,130.58247422680412,5,8.47,250.74500000000003,0.2,565,18.58
17,IOA,590,120,360,6420,40,130.58247422680412,10.7,7.12,250.74500000000003,0.06,402,9.72
18,IOA,2300,4900,15.6,100,48,18.6,2.62,11.4,2.88,0.07,100,13.42
19,IOA,2400,6899.999999999999,2.89,100,48,61.4,0.3,2.8,0.2,0.12,100,12.78
20,IOA,600,500,100,100,48,300,200,100,250.74500000000003,0.26,467.2260869565217,30.91
21,IOA,16800,8600,39.3,100,50,54.1,16.953076923076924,2.57,3.2,0.05,467.2260869565217,18.13305555555555
22,IOA,17600,1845.421686746988,11.8,100,55,106,0.2,4.02,1.34,0.06,200,18.13305555555555
23,IOA,1020,1845.421686746988,6810,2178.080808080808,60,130.58247422680412,8.3,31.49,280,0.18,558,8.49
24,IOA,1330,60,90,3030,60,110,4.2,47.01,250.74500000000003,0.16,724,5.75
25,IOA,1700,3000,34.3,100,64,18.6,16.953076923076924,1.41,3.18,0.04,200,18.13305555555555
26,IOA,600,3000,688.6412371,100,64,200,200,100,280,0.1335593220338983,100,11.56
27,IOA,490,3000,20,2178.080808080808,70,90,9.4,39.51,330,0.07,614,19.01
28,IOA,730,330,160,5090,70,130.58247422680412,10.2,31.51,610,0.06,757,19.91
29,IOA,790,1920,688.6412371,470,70,230,9.6,34.49,420,0.16,668,18.13305555555555
30,IOA,1700,20,340,7860,70,90,4.3,36.65,250.74500000000003,0.15,551,19.32
31,IOA,430,0,400,2510,0,0,1.5,33.8,0,0.18,518,18.13305555555555
32,IOA,580,190,20,6840,0,0,6.5,31.17,280,0.14,467,25.45
33,IOA,680,340,130,0,0,240,4,25.7,330,0.21,436,13.42
34,IOA,720,150,0,0,0,40,2.9,15.44,610,0.08,629,18.13305555555555
35,IOA,760,100,130,1600,0,100,4.4,48.34,0,0.05,557,29.93
36,IOA,1470,80,200,4560,0,30,9.4,44.18,1050,0.06,662,23.83
37,IOA,90,180,688.6412371,4110,80,130.58247422680412,6.3,15.45,250.74500000000003,0.17,656,21.95
38,IOA,670,180,520,2178.080808080808,80,40,1.9,35.54,910,0.14,485,30.59
39,IOA,2200,100,9700,100,81,130.58247422680412,200,100,250.74500000000003,0.1335593220338983,100,18.13305555555555
40,IOA,2800,1900,7.3,100,81,21,16.953076923076924,0.83,0.74,0.26,200,21.72
41,IOA,900,2500,688.6412371,100,94,100,200,26.040090909090907,250.74500000000003,0.1335593220338983,200,10.87
42,IOA,3400,2500,39.6,100,94,23.8,0.41,1.39,0.29,0.1,100,18.13305555555555
43,IOA,16600,2500,5.13,100,98,16.7,16.953076923076924,7.99,0.88,0.18,100,18.13305555555555
44,IOA,460,780,688.6412371,2178.080808080808,100,210,10.3,26.16,250.74500000000003,0.06,419,10
45,IOA,900,9700,28.3,100,129,124,2.9,26.040090909090907,0.6,0.05,467.2260869565217,20.98
46,IOA,1100,240,530,7470,130,130.58247422680412,3.2,34.98,200,0.16,738,18.13305555555555
47,IOA,1100,9400,2.5,100,147.5,67,8.1,5.72,5.5,0.06,467.2260869565217,8.69
48,IOA,280,1845.421686746988,70,2178.080808080808,150,260,6.6,35.53,250.74500000000003,0.19,692,18.13305555555555
49,IOA,340,1845.421686746988,688.6412371,1150,150,70,5.6,33.15,250.74500000000003,0.11,437,20.98
50,IOA,380,1845.421686746988,688.6412371,2178.080808080808,150,180,2.7,29.82,250.74500000000003,0.11,736,7.44
51,IOA,440,310,270,1160,150,70,3.7,14.19,380,0.06,541,10.87
52,IOA,16900,1845.421686746988,6.66,100,158,3,16.953076923076924,26.040090909090907,0.74,0.22,200,18.13305555555555
53,IOA,800,1845.421686746988,180,2178.080808080808,269.6463414634146,260,4.5,46.65,250.74500000000003,0.1,718,7.56
54,IOA,810,1845.421686746988,160,2740,269.6463414634146,330,5.1,13.83,250.74500000000003,0.07,722,28.63
55,IOA,810,1845.421686746988,1400,2178.080808080808,269.6463414634146,130.58247422680412,2.8,46.35,250.74500000000003,0.18,537,15.81
56,IOA,830,1845.421686746988,360,2178.080808080808,269.6463414634146,120,0.9,9.9,590,0.17,634,18.21
57,IOA,890,270,540,1370,269.6463414634146,150,8.6,16.09,660,0.08,658,10.52
58,IOA,910,120,520,1150,269.6463414634146,40,5.6,43.51,250.74500000000003,0.2,630,12.01
59,IOA,920,3000,340,1370,269.6463414634146,90,2.2,3.7,550,0.2,678,18.63
60,IOA,940,370,130,2970,269.6463414634146,30,7.5,24.38,20,0.11,425,23.13
61,IOA,940,340,380,2178.080808080808,269.6463414634146,170,5.6,36.78,250.74500000000003,0.15,477,8.56
62,IOA,980,7700,160,4790,269.6463414634146,160,8.7,34.62,40,0.06,699,18.13305555555555
63,IOA,980,660,3170,3070,269.6463414634146,20,11,0.21,220,0.2,622,32.49
64,IOA,1000,120,2640,6070,269.6463414634146,60,8.1,23.22,340,0.06,393,13.84
65,IOA,1020,1845.421686746988,688.6412371,2178.080808080808,269.6463414634146,20,3.3,15.76,2.88,0.21,564,18.13305555555555
66,IOA,1050,80,180,1160,269.6463414634146,80,3.8,23.8,420,0.12,618,23.45
67,IOA,1100,3000,688.6412371,100,269.6463414634146,130.58247422680412,16.953076923076924,100,280,0.26,467.2260869565217,30.32
68,IOA,1120,370,1840,2178.080808080808,269.6463414634146,130.58247422680412,6.4,43.37,420,0.17,630,24.27
69,IOA,1150,340,7950,3190,269.6463414634146,20,7.4,6.68,630,0.22,674,18.13305555555555
70,IOA,2900,7700,688.6412371,100,269.6463414634146,130.58247422680412,16.953076923076924,100,380,0.26,467.2260869565217,22.01
71,IOA,980,660,800,460,160,490,11.5,10.06,0.74,0.19,409,30.32
72,IOA,420,120,90,2520,170,160,6.2,27.84,1010,0.15,600,10
73,IOA,530,410,688.6412371,920,170,240,0.3,30.54,420,0.06,714,6.74
74,IOA,3271.818181818182,290,688.6412371,4200,170,130.58247422680412,7.3,18.64,250.74500000000003,0.17,499,1.58
75,IOA,990,330,688.6412371,1150,180,120,6.7,18.7,250.74500000000003,0.15,421,20.74
76,IOA,3271.818181818182,1845.421686746988,90,5460,180,150,3.7,16.83,250.74500000000003,0.16,423,2.45
77,IOA,1020,310,0,0,190,380,11.5,36.47,70,0.21,704,18.13305555555555
78,IOA,400,60,780,5820,200,130.58247422680412,1.1,29.69,420,0.14,617,18.13305555555555
79,IOA,870,670,200,1140,220,120,0.1,17.22,250.74500000000003,0.12,656,18.13305555555555
80,IOA,870,1845.421686746988,1400,2178.080808080808,240,130.58247422680412,9.6,26.32,250.74500000000003,0.09,529,18.13305555555555
81,IOA,1180,1845.421686746988,688.6412371,5370,240,300,0.4,28.41,250.74500000000003,0.07,497,18.13305555555555
82,IOA,700,190,70,5730,250,20,0.4,27.77,180,0.14,534,18.13305555555555
83,IOA,420,1845.421686746988,290,8480,290,90,3.5,26.93,250.74500000000003,0.08,563,18.13305555555555
84,IOA,770,250,688.6412371,2080,300,130.58247422680412,0.4,45.15,250.74500000000003,0.21,636,18.13305555555555
85,IOA,18000,1845.421686746988,7.16,100,339,24.3,0.8,4.85,1.54,0.09,100,18.13305555555555
86,IOA,940,560,660,2178.080808080808,340,130.58247422680412,7.4,18.32,110,0.16,547,18.13305555555555
87,IOA,17500,1845.421686746988,19.9,100,358,46.9,0.76,0.41,0.38,0.05,100,18.13305555555555
88,IOA,1120,140,340,2178.080808080808,380,160,5.7,2.65,780,0.13,516,18.13305555555555
89,IOA,710,1300,688.6412371,2178.080808080808,410,250,0.8,15.18,110,0.06,428,18.13305555555555
90,IOA,1080,170,688.6412371,2178.080808080808,410,310,0.2,17.79,250.74500000000003,0.1,550,18.13305555555555
91,IOA,1200,1845.421686746988,100,100,428,300,200,100,250.74500000000003,0.1335593220338983,100,18.13305555555555
92,IOA,2900,3400,213,100,428,16.9,2.39,0.76,0.55,0.11,100,18.13305555555555
93,IOA,15900,1845.421686746988,13.3,100,473,63.2,2.76,26.040090909090907,0,0.07,100,18.13305555555555
94,IOA,810,440,130,1140,550,770,0.1,32.48,250.74500000000003,0.21,694,18.13305555555555
95,IOA,18000,1845.421686746988,13.9,100,776,28.3,7.61,4.92,2.88,0.21,100,18.13305555555555
96,IOA,470,1845.421686746988,20,1370,830,100,7.1,9.32,420,0.19,504,1.17
97,IOA,1280,100,290,0,1470,110,8.9,48.47,280,0.12,506,12.1
98,IOA,980,1845.421686746988,1100,2178.080808080808,2500,330,6.9,19.2,250.74500000000003,0.11,472,31.5
99,IOA,1280,100,470,2040,6430,90,3.5,33.63,250.74500000000003,0.07,747,1.89
100,IOA,250,1845.421686746988,688.6412371,3880,269.6463414634146,210,8.5,35.01,250.74500000000003,0.13,711,21.72
101,IOA,300,1845.421686746988,270,5270,269.6463414634146,290,2,14.94,250.74500000000003,0.2,385,19.91
102,IOA,350,290,688.6412371,5140,269.6463414634146,70,3.1,10.37,220,0.11,648,11.56
103,IOA,350,1845.421686746988,20,1630,269.6463414634146,130.58247422680412,6.6,4.52,250.74500000000003,0.2,751,27.93
104,IOA,390,1845.421686746988,1540,9340,269.6463414634146,230,5.6,13.03,850,0.12,435,10.77
105,IOA,410,80,4080,9340,269.6463414634146,210,0.1,4.55,990,0.19,632,36.92
106,IOA,430,190,90,460,269.6463414634146,120,0.8,26.34,250.74500000000003,0.06,512,5.46
107,IOA,450,1845.421686746988,688.6412371,3880,269.6463414634146,180,3.3,15.19,250.74500000000003,0.15,628,13.79
108,IOA,480,1845.421686746988,160,5780,269.6463414634146,180,7.8,38.62,710,0.06,421,22.01
109,IOA,480,1845.421686746988,640,2178.080808080808,269.6463414634146,160,2.6,18.86,220,0.09,688,19.63
110,IOA,560,1845.421686746988,688.6412371,2178.080808080808,269.6463414634146,100,3.5,12.84,250.74500000000003,0.19,478,10.83
111,IOA,630,20,340,2178.080808080808,269.6463414634146,130.58247422680412,1.4,28.19,40,0.07,640,26.33
112,IOA,640,270,688.6412371,1170,269.6463414634146,50,1.7,46.9,250.74500000000003,0.18,596,5.43
113,IOA,640,1845.421686746988,590,2178.080808080808,269.6463414634146,60,9.9,9.67,420,0.13,683,38.77
114,IOA,680,1845.421686746988,380,4130,269.6463414634146,40,7.4,4.76,700,0.09,424,19.38
115,IOA,710,3080,3770,3270,269.6463414634146,120,1.4,32.55,250.74500000000003,0.14,752,30.59
116,IOA,720,1845.421686746988,688.6412371,4130,269.6463414634146,130.58247422680412,0.7,10.76,250.74500000000003,0.07,435,18.13305555555555
117,IOA,720,1845.421686746988,688.6412371,680,269.6463414634146,30,7.4,48.53,220,0.09,742,36.59
118,IOA,740,490,688.6412371,9480,269.6463414634146,20,1.9,1.33,510,0.08,575,9.72
119,IOA,790,1845.421686746988,390,1640,269.6463414634146,130.58247422680412,11.1,47.81,250.74500000000003,0.09,589,30.91
120,IOA,790,1845.421686746988,688.6412371,2178.080808080808,269.6463414634146,40,7.7,19.48,240,0.18,716,26.33
121,IOA,800,160,430,2178.080808080808,269.6463414634146,150,4.4,47.6,40,0.14,618,10.83
122,IOA,17100,1845.421686746988,2.29,100,269.6463414634146,130.58247422680412,16.953076923076924,26.040090909090907,250.74500000000003,0.26,100,18.13305555555555
123,IOCG,5600,1.8,0.82,1.7,120,122.2,0.015,0.059,0.18325,0.024,1.1,12
124,IOCG,13000,1.9,4.78,2.5,370,93.08923723865705,0.017,0.013,0.12565,0.08,0.18,0.06
125,IOCG,83.67,2.235,2.198,3.038,35.98,18.44,0.079,0,0,2.408,0.122,0.028
126,IOCG,14000,2.4,0.48,1.4,14,68.47,3.8432263582161004,3.486058201,0.1985159222605095,0.013,0.019,0.01
127,IOCG,13000,2.5,39.74,2.8,3.2,125,0.12,0.11,1.322319225578545,0.31,0.63,0.52
128,IOCG,18339,20,0.215,0.7109,316.1241,5,0.0173,0.0242,0.08815,63.73666484533067,0.02395,0.0052
129,IOCG,16000,20,6.22,1.2,73,50.94,0.026,0.016,0.2462,0.13,0.66,0.059
130,IOCG,8410,20.91,26.31,2.539,52.97,47.85,0.526,0.021,0,0.162,0.11,0.828
131,IOCG,16000,22,11.99,2,44,134.3,0.041,0.013,0.31525,0.27,0.53,0.12
132,IOCG,18389,23,0.13695,0.5568,288.3824,7,0.0208,0.02725,0.19825,63.73666484533067,0.0205,0.01
133,IOCG,333.5,23.69,12.88,2.315,45.98,17.42,0.023,0.023,0,4.281,0.097,0.006
134,IOCG,12700,26.91,311.1,28.08,2398,12.76,5.876,0.409,0,22.18,5.842,4.397
135,IOCG,19280,28.18,4.038,2.565,60.41,94.26,0,0,0,13.45,0,0.008
136,IOCG,5200,30,18.76,2.3,360,16.70643185102025,0.17,0.46,0.16935,0.07,8.5,19
137,IOCG,497,30.07,3.612,2.946,36.91,45.38,0,0.023,0,1.092,0.011,0.013
138,IOCG,17000,32,2.81,1.3,38,93.27,0.0078,3.486058201,0.0938,0.047,0.14,0.2
139,IOCG,18550,35,2.945,3.536,79.81,81.03,0,0.129,0,221.9,0.03,0.46
140,IOCG,5677.977907296594,35.59,14.84,3.381,577,110.1,0.088,0,0,15.1,0.052,0
141,IOCG,9609,37.14,7.145,15.57,3077,16.21,0.839,0.163,0,9.46,1.384,3.46
142,IOCG,11000,2.5,4.1,1.4,640,80.71963090982734,0.019,0.06,0.16935,0.03,0.15,0.98
143,IOCG,12000,2.6,1.71,0.9,78,181.6,0.0059,0.012,0.34545,0.014,0.064,0.01
144,IOCG,175.2,2.75,3.69,4.629,88.45,47.81,0,0.023,0,3.374,0.021,0.065
145,IOCG,249.1,3.094,12.92,2.946,22.2,15.6,0.053,0.136,0,340.9,0.363,0.333
146,IOCG,16000,3.5,3.78,1.8,2000,94.36960720552129,0.008,3.486058201,0.1251110226918984,0.06,0.1,0.01
147,IOCG,713.1,3.61,7.558,3.038,82.63,28.72,0.06,0.02,0,7.001,0.3,1.38
148,IOCG,8100,4.4,5.24,1.3,77,94.26,0.018,3.486058201,0.30555,0.11,0.08,0.0058
149,IOCG,421.5,4.584,3.298,3.069,38.94,48.22,0,0.027,0,2.31,0.038,0
150,IOCG,17000,4.9,1.98,2.3,680,91.06955056277631,0.009,3.486058201,0.1732,0.03,0.2,0.05
151,IOCG,159.3,5.894,6.36,2.42,93.72,18.23,2.405,1.284,0,1.473,94.97,2.921
152,IOCG,15000,7.2,280.54,5.3,26,48.62,0.2,0.12,0.0931,0.018,58,4.2
153,IOCG,2078,7.662,23.87,5.787,571.9,9.319,1.089,0.07,0,16.53,0.569,0.649
154,IOCG,1.285,10.09,5.766,3.704,0.165,10.18,0.123,4.071,0,31.56,4.698,0.384
155,IOCG,572.2,10.54,7.42,2.946,71.64,34.51,2.355,0.109,0,0.611,10.87,5.781
156,IOCG,579.4,10.74,8.245,4.879,47.31,39.71,0,0.02,0,14.64,0.113,0.25
157,IOCG,472.9,12.46,2.473,3.038,51.86,32.26,0.06,0.02,0,2.346,0.15,0.017
158,IOCG,11000,15,17.36,2.1,1200,162.1,0.028,3.486058201,0.2547,0.49,0.22,0.069
159,IOCG,13340,17.05,10.22,5.303,4359,19.85,7.369,0.392,0,16.67,5.124,15.42
160,IOCG,5790,17.39,25.13,3.998,1171,8.508,6.375,0.21,0,41.17,2.586,3.123
161,IOCG,13000,18,752.89,2.7,46,82.19,0.067,0.079,0.4560601281342226,0.093,0.43,1.4
162,IOCG,19618,19,6.397,0.794,326.2799,9,0.2477,0.2496,0.1694,63.73666484533067,1.5017,0.0631
163,IOCG,5677.977907296594,38.19,3.887,2.856,56.57,108.8,0,0.032,0,5.74,0,0.23
164,IOCG,10340,38.91,9.552,6.563,141,23.31,3.965,0.253,0,0.018,589.8,22.81
165,IOCG,5677.977907296594,39.09,5.088,2.448,136.5,122.2,0.041,0,0,51.61,0,0.011
166,IOCG,10950,39.15,3.995,12.01,109.5,25.77,0.389,0.304,0,0.132,0.679,0.739
167,IOCG,5677.977907296594,40,3.433,3.497,517.7,103.2,0,0,0,14.87,0,0.039
168,IOCG,5677.977907296594,41.17,539.7,4.08,178.6,122.1,0.059,0,0,13.77,0.026,0.229
169,IOCG,1356,42.92,4.617,8.985,508.5,31.77,0.318,0.131,0,3.555,1.728,4.981
170,IOCG,6500,43,96.06,3.9,1200,17.37469190325265,0.19,1.3,0.1907,0.33,15,12
171,IOCG,5677.977907296594,43.41,4572,114.4,521.2,38.43,32.88,1.357,0,1.195,1940,40.41
