Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,18100.0,3414.285714285714,6.65,100.0,1.1,58.642857142857146,2.957142857142857,4.192857142857143,0.33,0.19,142.85714285714286,10.391428571428571
IOA,14700.0,3900.0,8.72,100.0,1.8,56.84285714285714,2.957142857142857,4.192857142857143,0.55,0.23,142.85714285714286,10.391428571428571
IOA,730.0,535.7142857142857,2930.0,9030.0,10.0,290.0,1.2,8.18,420.0,0.17,663.0,17.93
IOA,2900.0,8200.0,0.11,100.0,10.0,85.0,31.842857142857145,0.04,0.04,0.05,100.0,18.11714285714286
IOA,4100.0,400.0,1100.0,100.0,10.0,171.67142857142858,100.0,100.0,0.9,0.26,200.0,20.860000000000003
IOA,20000.0,100.0,5.56,100.0,19.0,54.1,2.957142857142857,0.23,0.9,0.14,100.0,13.481428571428571
IOA,1100.0,8300.0,0.42,100.0,22.0,118.0,32.471428571428575,36.16571428571429,1.74,0.04,200.0,20.997142857142858
IOA,9900.0,3500.0,9.09,100.0,22.0,25.6,16.832857142857144,0.6,0.59,0.08,100.0,13.481428571428571
IOA,17600.0,3500.0,41.8,100.0,22.0,108.0,1.27,4.59,1.7,0.08,200.0,13.481428571428571
IOA,1000.0,9200.0,0.23,100.0,23.0,151.0,32.857142857142854,30.05,0.07,0.05,100.0,18.455714285714286
IOA,3700.0,8500.0,1.23,100.0,23.0,42.0,31.84285714285715,33.46,0.66,0.22,200.0,17.204285714285714
IOA,18800.0,8500.0,4.34,100.0,23.6,46.542857142857144,2.4428571428571426,4.192857142857143,0.95,0.22,100.0,11.66
IOA,2100.0,200.0,2100.0,100.0,24.0,178.57142857142858,200.0,23.22,2.88,0.13857142857142857,100.0,22.97142857142857
IOA,18800.0,500.0,0.55,100.0,24.0,94.0,2.957142857142857,3.5557142857142856,0.2,0.05,200.0,13.481428571428571
IOA,19900.0,200.0,6.57,100.0,24.0,65.0,2.957142857142857,2.47,1.06,0.09,200.0,13.481428571428571
IOA,210.0,400.0,450.0,920.0,40.0,280.0,7.4,1.22,910.0,0.2,652.0,36.07
IOA,520.0,20.0,340.0,4630.0,40.0,115.71428571428571,5.0,8.47,351.42857142857144,0.2,565.0,18.58
IOA,590.0,120.0,360.0,6420.0,40.0,97.14285714285714,10.7,7.12,351.42857142857144,0.06,402.0,9.72
IOA,2300.0,4900.0,15.6,100.0,48.0,18.6,2.62,11.4,2.88,0.07,100.0,13.42
IOA,2400.0,6899.999999999999,2.89,100.0,48.0,61.4,0.3,2.8,0.2,0.12,100.0,12.78
IOA,600.0,500.0,100.0,100.0,48.0,300.0,200.0,100.0,398.57142857142856,0.26,599.2857142857143,30.91
IOA,16800.0,8600.0,39.3,100.0,50.0,54.1,2.4428571428571426,2.57,3.2,0.05,128.57142857142858,11.66
IOA,17600.0,3414.285714285714,11.8,100.0,55.0,106.0,0.2,4.02,1.34,0.06,200.0,13.481428571428571
IOA,1020.0,921.4285714285714,6810.0,3064.285714285714,60.0,108.57142857142857,8.3,31.49,280.0,0.18,558.0,8.49
IOA,1330.0,60.0,90.0,3030.0,60.0,110.0,4.2,47.01,368.98285714285714,0.16,724.0,5.75
IOA,1700.0,3000.0,34.3,100.0,64.0,18.6,88.27,1.41,3.18,0.04,200.0,17.694285714285716
IOA,600.0,3000.0,1602.857142857143,100.0,64.0,200.0,200.0,100.0,280.0,0.15714285714285717,100.0,11.56
IOA,490.0,3000.0,20.0,3594.285714285714,70.0,90.0,9.4,39.51,330.0,0.07,614.0,19.01
IOA,730.0,330.0,160.0,5090.0,70.0,132.85714285714286,10.2,31.51,610.0,0.06,757.0,19.91
IOA,790.0,1920.0,1625.7142857142858,470.0,70.0,230.0,9.6,34.49,420.0,0.16,668.0,21.68
IOA,1700.0,20.0,340.0,7860.0,70.0,90.0,4.3,36.65,394.69714285714286,0.15,551.0,19.32
IOA,430.0,0.0,400.0,2510.0,0.0,0.0,1.5,33.8,0.0,0.18,518.0,20.02285714285714
IOA,580.0,190.0,20.0,6840.0,0.0,0.0,6.5,31.17,280.0,0.14,467.0,25.45
IOA,680.0,340.0,130.0,0.0,0.0,240.0,4.0,25.7,330.0,0.21,436.0,13.42
IOA,720.0,150.0,0.0,0.0,0.0,40.0,2.9,15.44,610.0,0.08,629.0,16.385714285714283
IOA,760.0,100.0,130.0,1600.0,0.0,100.0,4.4,48.34,0.0,0.05,557.0,29.93
IOA,1470.0,80.0,200.0,4560.0,0.0,30.0,9.4,44.18,1050.0,0.06,662.0,23.83
IOA,90.0,180.0,411.42857142857144,4110.0,80.0,161.42857142857142,6.3,15.45,367.14285714285717,0.17,656.0,21.95
IOA,670.0,180.0,520.0,3262.8571428571427,80.0,40.0,1.9,35.54,910.0,0.14,485.0,30.59
IOA,2200.0,100.0,9700.0,100.0,81.0,138.57142857142858,200.0,100.0,241.84,0.12142857142857144,100.0,16.665714285714284
IOA,2800.0,1900.0,7.3,100.0,81.0,21.0,61.028571428571425,0.83,0.74,0.26,200.0,21.72
IOA,900.0,2500.0,1548.5714285714287,100.0,94.0,100.0,200.0,46.699999999999996,298.98285714285714,0.17142857142857143,200.0,10.87
IOA,3400.0,2500.0,39.6,100.0,94.0,23.8,0.41,1.39,0.29,0.1,100.0,16.202857142857145
IOA,16600.0,2500.0,5.13,100.0,98.0,16.7,2.957142857142857,7.99,0.88,0.18,100.0,13.481428571428571
IOA,460.0,780.0,481.42857142857144,5622.857142857143,100.0,210.0,10.3,26.16,534.2857142857143,0.06,419.0,10.0
IOA,900.0,9700.0,28.3,100.0,129.0,124.0,2.9,32.895714285714284,0.6,0.05,487.42857142857144,20.98
IOA,1100.0,240.0,530.0,7470.0,130.0,152.85714285714286,3.2,34.98,200.0,0.16,738.0,19.512857142857147
IOA,1100.0,9400.0,2.5,100.0,147.5,67.0,8.1,5.72,5.5,0.06,488.2857142857143,8.69
IOA,280.0,640.0,70.0,3622.8571428571427,150.0,260.0,6.6,35.53,568.5714285714286,0.19,692.0,16.341428571428573
IOA,340.0,708.5714285714286,330.0,1150.0,150.0,70.0,5.6,33.15,458.57142857142856,0.11,437.0,20.98
IOA,380.0,610.0,814.2857142857143,4601.428571428572,150.0,180.0,2.7,29.82,515.7142857142857,0.11,736.0,7.44
IOA,440.0,310.0,270.0,1160.0,150.0,70.0,3.7,14.19,380.0,0.06,541.0,10.87
IOA,16900.0,3414.285714285714,6.66,100.0,158.0,3.0,2.957142857142857,4.192857142857143,0.74,0.22,200.0,13.481428571428571
IOA,800.0,2952.8571428571427,180.0,2558.5714285714284,137.0,260.0,4.5,46.65,271.5142857142857,0.1,718.0,7.56
IOA,810.0,765.7142857142857,160.0,2740.0,241.42857142857142,330.0,5.1,13.83,193.26857142857145,0.07,722.0,28.63
IOA,810.0,692.8571428571429,1400.0,3240.0,254.28571428571428,105.71428571428571,2.8,46.35,274.69714285714286,0.18,537.0,15.81
IOA,830.0,727.1428571428571,360.0,3040.0,150.0,120.0,0.9,9.9,590.0,0.17,634.0,18.21
IOA,890.0,270.0,540.0,1370.0,224.28571428571428,150.0,8.6,16.09,660.0,0.08,658.0,10.52
IOA,910.0,120.0,520.0,1150.0,244.28571428571428,40.0,5.6,43.51,408.98285714285714,0.2,630.0,12.01
IOA,920.0,3000.0,340.0,1370.0,584.2857142857143,90.0,2.2,3.7,550.0,0.2,678.0,18.63
IOA,940.0,370.0,130.0,2970.0,172.85714285714286,30.0,7.5,24.38,20.0,0.11,425.0,23.13
IOA,940.0,340.0,380.0,2505.714285714286,265.7142857142857,170.0,5.6,36.78,398.98285714285714,0.15,477.0,8.56
IOA,980.0,7700.0,160.0,4790.0,612.8571428571429,160.0,8.7,34.62,40.0,0.06,699.0,18.395714285714284
