Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,18100,,6.65,100,1.1,,,,0.33,0.19,,
IOA,14700,,8.72,100,1.8,,b.d,,0.55,0.23,,
IOA,730,,2930,9030,10,290,1.2,8.18,420,0.17,663,
IOA,2900,8200,0.11,100,10,85,,0.04,0.04,0.05,100,
IOA,4100,400,1100,100,10,,100,100,0.9,0.26,200,
IOA,20000,100,5.56,100,19,54.1,b.d,0.23,0.9,0.14,100,
IOA,1100,8300,0.42,100,22,118,,b.d,1.74,0.04,200,
IOA,9900,3500,9.09,100,22,25.6,,0.6,0.59,0.08,100,
IOA,17600,3500,41.8,100,22,108,1.27,4.59,1.7,0.08,200,
IOA,1000,9200,0.23,100,23,151,,b.d,0.07,0.05,100,
IOA,3700,8500,1.23,100,23,42,,,0.66,0.22,200,
IOA,18800,8500,4.34,100,23.6,,,,0.95,0.22,100,
IOA,2100,200,2100,100,24,,200,,2.88,,100,
IOA,18800,500,0.55,100,24,94,,,0.2,0.05,200,
IOA,19900,200,6.57,100,24,65,b.d,2.47,1.06,0.09,200,
IOA,210,400,450,920,40,280,7.4,1.22,910,0.2,652,36.07
IOA,520,20,340,4630,40,,5,8.47,,0.2,565,18.58
IOA,590,120,360,6420,40,,10.7,7.12,,0.06,402,9.72
IOA,2300,4900,15.6,100,48,18.6,2.62,11.4,2.88,0.07,100,13.42
IOA,2400,6900,2.89,100,48,61.4,0.3,2.8,0.2,0.12,100,12.78
IOA,600,500,100,100,48,300,200,100,,0.26,,30.91
IOA,16800,8600,39.3,100,50,54.1,b.d,2.57,3.2,0.05,,
IOA,17600,,11.8,100,55,106,0.2,4.02,1.34,0.06,200,
IOA,1020,,6810,,60,,8.3,31.49,280,0.18,558,8.49
IOA,1330,60,90,3030,60,110,4.2,47.01,,0.16,724,5.75
IOA,1700,3000,34.3,100,64,18.6,,1.41,3.18,0.04,200,
IOA,600,3000,,100,64,200,200,100,280,,100,11.56
